Country,URL (domain),Links
AUSTRIA,http://archiv.dsb.gv.at,1
AUSTRIA,http://awsg.at,9
AUSTRIA,http://digital.austria.gv.at,9
AUSTRIA,http://digitales.oesterreich.gv.at,10
AUSTRIA,http://gesundheit.gv.at,9
AUSTRIA,http://reference.e-government.gv.at,1
AUSTRIA,http://www.a-sit.at,7
AUSTRIA,http://www.ams.at,10
AUSTRIA,http://www.arbeitsinspektion.gv.at,10
AUSTRIA,http://www.auftrag.at,1
AUSTRIA,http://www.austria.gv.at,9
AUSTRIA,http://www.bbg.gv.at,10
AUSTRIA,http://www.bibliotheken.at,10
AUSTRIA,http://www.bmeia.gv.at,10
AUSTRIA,http://www.bmf.gv.at,2
AUSTRIA,http://www.bmgfj.gv.at,10
AUSTRIA,http://www.bmi.gv.at,3
AUSTRIA,http://www.buergerkarte.at,1
AUSTRIA,http://www.bundespraesident.at,7
AUSTRIA,http://www.chipkarte.at,5
AUSTRIA,http://www.data.gv.at,3
AUSTRIA,http://www.digitalroadmap.gv.at,3
AUSTRIA,http://www.egiz.gv.at,8
AUSTRIA,http://www.elga.gv.at,1
AUSTRIA,http://www.euraxess.at,7
AUSTRIA,http://www.gemeindebund.at,10
AUSTRIA,http://www.handy-signatur.at,1
AUSTRIA,http://www.help.gv.at,1
AUSTRIA,http://www.herold.at,10
AUSTRIA,http://www.ldap.gv.at,1
AUSTRIA,http://www.ocg.at,10
AUSTRIA,http://www.on-norm.at,1
AUSTRIA,http://www.onlinesicherheit.gv.at,1
AUSTRIA,http://www.parlament.gv.at,10
AUSTRIA,http://www.patentamt.at,4
AUSTRIA,http://www.pep-online.at,2
AUSTRIA,http://www.reachhelpdesk.at,10
AUSTRIA,http://www.rechnungshof.gv.at,1
AUSTRIA,http://www.ris.bka.gv.at,6
AUSTRIA,http://www.rtr.at,10
AUSTRIA,http://www.signature-verification.gv.at,3
AUSTRIA,http://www.sozialministerium.at,10
AUSTRIA,http://www.staedtebund.gv.at,8
AUSTRIA,http://www.statistik.at,10
AUSTRIA,http://www.stipendium.at,9
AUSTRIA,http://www.usp.gv.at,1
AUSTRIA,http://www.watchlist-praktikum.at,10
AUSTRIA,http://www.zustellung.gv.at,1
AUSTRIA,https://beratungsstelle.counteract.or.at,9
AUSTRIA,https://dvr.dsb.gv.at,1
AUSTRIA,https://en.brz.gv.at,3
AUSTRIA,https://finanzonline.bmf.gv.at,6
AUSTRIA,https://ldap.gv.at,1
AUSTRIA,https://portal.bbg.gv.at,3
AUSTRIA,https://secure.umweltbundesamt.at,1
AUSTRIA,https://univis.univie.ac.at,3
AUSTRIA,https://www.adv.at,10
AUSTRIA,https://www.bmfj.gv.at,1
AUSTRIA,https://www.e-ams.at,1
AUSTRIA,https://www.eap.gv.at,1
AUSTRIA,https://www.elda.at,3
AUSTRIA,https://www.en.bmdw.gv.at,1
AUSTRIA,https://www.eps-ueberweisung.at,1
AUSTRIA,https://www.erechnung.gv.at,10
AUSTRIA,https://www.ffg.at,10
AUSTRIA,https://www.gruenderservice.at,1
AUSTRIA,https://www.ris.bka.gv.at,6
AUSTRIA,https://www.sozialversicherung.at,10
AUSTRIA,https://www.wko.at,1
BELGIUM,http://as-e.be,10
BELGIUM,http://bcss.fgov.be,10
BELGIUM,http://be.brussels,10
BELGIUM,http://belgique.be,1
BELGIUM,http://bric.brussels,10
BELGIUM,http://cert.be,1
BELGIUM,http://cfwb.be,2
BELGIUM,http://diplomatie.belgium.be,10
BELGIUM,http://economie.fgov.be,10
BELGIUM,http://eid.belgium.be,10
BELGIUM,http://elearning.hainaut.be,1
BELGIUM,http://fgov.be,10
BELGIUM,http://finance.belgium.be,10
BELGIUM,http://flahaut.cfwb.be,10
BELGIUM,http://greoli.cfwb.be,1
BELGIUM,http://greoli.wallonie.be,1
BELGIUM,http://inami.fgov.be,10
BELGIUM,http://ipf.hainaut.be,10
BELGIUM,http://kanselarij.belgium.be,10
BELGIUM,http://marchespublics.wallonie.be,1
BELGIUM,http://mybelgium.be,5
BELGIUM,http://parlement.wallonie.be,9
BELGIUM,http://plda.fgov.be,1
BELGIUM,http://premier.fgov.be,10
BELGIUM,http://registry.fsb.pr.belgium.be,1
BELGIUM,http://safeonweb.be,10
BELGIUM,http://www.accueildesenfants.be,1
BELGIUM,http://www.actiris.be,1
BELGIUM,http://www.actirisinternational.be,1
BELGIUM,http://www.alexanderdecroo.be,10
BELGIUM,http://www.avcb-vsgb.be,10
BELGIUM,http://www.awt.be,1
BELGIUM,http://www.belgianchambers.be,10
BELGIUM,http://www.belnet.be,10
BELGIUM,http://www.belspo.be,1
BELGIUM,http://www.bib.belgium.be,1
BELGIUM,http://www.bibliotheques.be,1
BELGIUM,http://www.bildungsserver.be,1
BELGIUM,http://www.business.belgium.be,5
BELGIUM,http://www.cirb.irisnet.be,10
BELGIUM,http://www.dglive.be,1
BELGIUM,http://www.dgparlament.be,1
BELGIUM,http://www.digitalbelgium.be,1
BELGIUM,http://www.droitbelge.be,3
BELGIUM,http://www.ejustice.just.fgov.be,1
